Verkooporderregel artikel.Artikel.Artikelcode,Omschrijving_standaard_artikelen,Priority,ArticleType,Aantal_orders_5jr,Totale_kosten_5jr,Aantal_klantlocaties_5jr,Annual_Use,Annual_Use_genormaliseerd,Aandeel_pct,Cumulatief_pct,ABC_categorie,Aandeel,Cumulatief_aandeel,Totaal_orders_5jr,Gem_orders_per_klantlocatie_5jr,Max_orders_op_1_klantlocatie_5jr,Aantal_klantlocaties_met_orders_5jr,Incourant,Artikelcode,Standaard verkoopprijs,Engineering status,Hoofdleverancier.Relatie,Artikelgroep,Inkoopprijs (standaard),Hoofdleverancier.Levertijd,MTBF(years),Hoofdleverancier.Bestelhoeveelheid,Laatste_order_datum,Unnamed: 29
000573585,"Extender pickhead, Str 50, VaDe",Onbekend,Onbekend,18.0,23204.59,3.0,4640.918,1546.972666666667,0.3061236482035458,13.82390250276526,A,0.0030612364820354,0.1382390250276526,18.0,6.0,16.0,3.0,Uitgeschakeld,000573585,0.0,Custom Approved,,170-Purchase parts with machining," 0,00",,0.0,,2026-05-01,
000271261,Servomotor,Onbekend,Onbekend,2.0,6893.25,2.0,1378.65,689.325,0.1364075063152867,33.69823237612942,A,0.0013640750631528,0.3369823237612942,2.0,1.0,1.0,2.0,Uitgeschakeld,000271261,0.0,Custom approved Racupack,Siemens Nederland N.V.,310-Electric motor," 0,00",0 dagen,10.0,1.0,2024-10-24,
000573691,"Extender pickhead, Str 50, sp, VaDe",Onbekend,Onbekend,12.0,7064.75,3.0,1412.95,470.9833333333333,0.0932008298205656,47.12563187040648,A,0.0009320082982056,0.4712563187040648,12.0,4.0,10.0,3.0,Uitgeschakeld,000573691,0.0,Custom Approved,,170-Purchase parts with machining," 0,00",,2.0,,2026-04-16,
000568550,"Seal, O-Ring",4,Not Recommended,3.0,32.53,2.0,6.506,3.253,0.0006437219280363,99.98442828476828,C,6.437219280363073e-06,0.9998442828476828,3.0,1.5,2.0,2.0,Uitgeschakeld,000568550,1.24,Custom Approved,Eriks B.V.,700-General parts," 0,62",0 dagen,2.0,0.0,2022-09-23,
000271349,Pressure spring,2,Wear,3.0,58.63,1.0,11.726,11.726,0.0023204068023835,99.65347146245313,C,2.320406802383566e-05,0.9965347146245312,3.0,3.0,3.0,1.0,Uitgeschakeld,000271349,2.14,Custom approved Racupack,Wurth Nederland B.V.,700-General parts," 1,07",0 dagen,5.0,1.0,2024-11-25,
000466335,"Spring, torsion",2,Wear,4.0,2162.87,3.0,432.574,144.1913333333333,0.0285333916690621,83.22107998460172,B,0.0002853339166906,0.8322107998460171,4.0,1.333333333333333,2.0,3.0,Uitgeschakeld,000466335,2.76,Custom Approved,Amatec B.V.,700-General parts," 6,25",0 dagen,5.0,0.0,2026-02-11,
000556302,compression spring,2,Wear,1.0,104.72,1.0,20.944,20.944,0.0041445164650453,99.05436808451876,C,4.144516465045318e-05,0.9905436808451876,1.0,1.0,1.0,1.0,Uitgeschakeld,000556302,4.04,Custom Approved,ATV Springs,700-General parts," 2,02",0 dagen,5.0,0.0,2024-05-20,
SPRICOMP-00000005,Compression spring,2,Wear,3.0,37.41,2.0,7.482000000000001,3.741000000000001,0.0007402901115228,99.97762953473878,C,7.402901115228485e-06,0.999776295347388,3.0,1.5,2.0,2.0,Uitgeschakeld,SPRICOMP-00000005,4.1,Custom approved,Amatec B.V.,700-General parts," 2,36",0 dagen,5.0,1.0,2026-01-26,
SPRICOMP-00000006,Compression spring,2,Wear,6.0,689.1,3.0,137.82,45.94,0.0090908654700239,97.446904759814,C,9.090865470023964e-05,0.97446904759814,6.0,2.0,4.0,3.0,Uitgeschakeld,SPRICOMP-00000006,4.38,Custom approved,Amatec B.V.,700-General parts," 2,19",0 dagen,5.0,1.0,2025-04-25,
000501718,Toothed belt endless,3,Wear,1.0,14.64,1.0,2.928,2.928,0.0005794091009192,99.98744163754716,C,5.794091009192462e-06,0.9998744163754716,1.0,1.0,1.0,1.0,Uitgeschakeld,000501718,4.48,Custom Approved,Ammertech B.V.,360-Drive belt," 1,53",0 dagen,3.0,0.0,2023-02-13,
SPRICOMP-00000013,Compression spring,2,Wear,1.0,494.0,1.0,98.8,98.8,0.0195510994435865,90.01680651510436,B,0.0001955109944358,0.9001680651510436,1.0,1.0,1.0,1.0,Uitgeschakeld,SPRICOMP-00000013,4.52,Custom approved,Amatec B.V.,700-General parts," 2,26",0 dagen,5.0,1.0,2022-05-05,
SPRIEXTE-00000003,"Spring, tension",2,Wear,6.0,685.36,5.0,137.072,27.4144,0.0054249155929783,98.66761952062676,C,5.424915592978342e-05,0.9866761952062676,6.0,1.2,2.0,5.0,Uitgeschakeld,SPRIEXTE-00000003,4.66,Standard Approved,Amatec B.V.,700-General parts," 3,03",0 dagen,5.0,1.0,2026-02-27,
000468318,Trekveer,2,Wear,1.0,120.0,1.0,24.0,24.0,0.0047492549255675,98.88757854219983,C,4.749254925567592e-05,0.9888757854219984,1.0,1.0,1.0,1.0,Uitgeschakeld,000468318,5.0,Custom Approved,ATV Springs,700-General parts," 7,95",0 dagen,5.0,0.0,2026-01-08,
VEEDAMASP10357,Compression spring,2,Wear,3.0,97.54,1.0,19.508,19.508,0.0038603527119988,99.1700141924145,C,3.860352711998858e-05,0.991700141924145,3.0,3.0,3.0,1.0,Uitgeschakeld,VEEDAMASP10357,5.18,Custom approved,Amatec B.V.,700-General parts," 2,59",15 dagen,5.0,50.0,2023-12-29,
000332014,Toothed belt endless,3,Wear,1.0,4.24,1.0,0.8480000000000001,0.8480000000000001,0.00016780700737,99.9999026402742,C,1.678070073700549e-06,0.999999026402742,1.0,1.0,1.0,1.0,Uitgeschakeld,000332014,5.32,Custom Approved,Ammertech B.V.,360-Drive belt," 2,66",0 dagen,3.0,1.0,2024-05-15,
RIETPIR0265-5M-25,Gear belt,3,Wear,1.0,20.62,1.0,4.124000000000001,4.124000000000001,0.00081608030471,99.97154230916168,C,8.160803047100314e-06,0.9997154230916168,1.0,1.0,1.0,1.0,Uitgeschakeld,RIETPIR0265-5M-25,5.8,Custom approved,Ammertech B.V.,360-Drive belt," 2,90",21 dagen,5.0,1.0,2024-08-29,
VEEDSPED21848T,Compression spring,2,Wear,1.0,107.04,1.0,21.408,21.408,0.0042363353936062,99.01675511345634,C,4.236335393606292e-05,0.9901675511345636,1.0,1.0,1.0,1.0,Uitgeschakeld,VEEDSPED21848T,6.04,Custom approved,Amatec B.V.,700-General parts," 3,02",21 dagen,5.0,10.0,2026-01-29,
000544120,Toothed belt endless,3,Wear,1.0,20.8,1.0,4.16,4.16,0.0008232041870983,99.9690865485939,C,8.232041870983826e-06,0.9996908654859392,1.0,1.0,1.0,1.0,Geselecteerd,000544120,6.36,Custom Approved,Ammertech B.V.,360-Drive belt," 3,18",0 dagen,3.0,0.0,2023-02-13,
RIETGAT0375-5MR9,Toothed belt endless,3,Wear,2.0,12.12,2.0,2.424,1.212,0.0002398373737411,99.99890292211236,C,2.398373737411634e-06,0.9999890292211236,2.0,1.0,1.0,2.0,Uitgeschakeld,RIETGAT0375-5MR9,6.36,Custom Approved,Ammertech B.V.,360-Drive belt," 3,20",21 dagen,3.0,1.0,2024-12-06,
000271347,Pressure spring inox,2,Wear,1.0,20.76,1.0,4.152,4.152,0.0008216211021231,99.96990816969604,C,8.216211021231934e-06,0.9996990816969604,1.0,1.0,1.0,1.0,Uitgeschakeld,000271347,6.8,Custom approved Racupack,Amatec B.V.,700-General parts," 3,40",0 dagen,5.0,1.0,2024-03-08,
