Code;Descr;n_klanten;lambda_jr;LT_dagen;mu;bron;s@98.0%;s@99.0%;s@99.5%;s@99.9%
MOTSBERVRDM3913#A;Motor, stepper;25;2,5;30;0,2055;excel;2;3;3;4
REDUAPE100#A;Gearbox;25;2,5;15;0,1027;excel;2;2;2;3
000332792;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
000548992;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUAPEAE090#D-FG;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUPLAN-00000006;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUAPE090#A;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
000348761;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUPLAN-00000005;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUAPE075#A-FG;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUAPE060#C-FG;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUPLAN-00000014;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUAPE100#B-FG;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUAPEAE090#A-FG;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
REDUPLAN-00000041;Reductor, servo;25;2,5;15;0,1027;excel;2;2;2;3
MOTOADJU-00000040;Motor, three-phase geared;25;2,5;20;0,137;excel;2;2;3;3
000608495;Vision, camera;25;2,5;20;0,137;excel;2;2;3;3
BECK_CX5130-COM-1;CPU module CX5130-0175 64Bit TC3 40GB;25;2,5;45;0,3082;excel;3;3;3;4
BECK_CX5140-0125;CPU module CX5140-0125 32Bit TC3 40GB;25;2,5;45;0,3082;excel;3;3;3;4
BECK_CX5140-COM-1;CPU module CX5140-0175 64Bit TC3 40GB;25;2,5;45;0,3082;excel;3;3;3;4
000377208;Motor, servo;25;2,5;30;0,2055;excel;2;3;3;4
